Set Temperature;Actual Temperature;Voltage;Current
20;24.465;1199.9999998492135;1.5078657611411472e-07
20;24.465;1199.9999998492135;1.5078657611411472e-07
20;24.465;1249.9999998492135;1.5078657611411472e-07
20;24.466;1249.9999998349383;1.6506160704921058e-07
20;24.466;1299.9999998349383;1.6506160704921058e-07
20;24.466;1299.9999998349383;1.6506160704921058e-07
20;24.466;1349.9999998120522;1.8794776224240195e-07
20;24.466;1349.9999998120522;1.8794776224240195e-07
20;24.468;1399.9999998235776;1.7642233274273167e-07
20;24.468;1399.9999998235776;1.7642233274273167e-07
20;24.468;1449.9999998235776;1.7642233274273167e-07
20;24.469;1449.9999998075243;1.9247558213919547e-07
20;24.469;1499.9999998075243;1.9247558213919547e-07
20;24.469;1499.9999998075243;1.9247558213919547e-07
20;24.469;1549.9999997762247;2.2377527386652218e-07
20;24.469;1549.9999997762247;2.2377527386652218e-07
20;24.471;1599.9999997762247;2.2377527386652218e-07
20;24.471;1599.999999774743;2.252571391636593e-07
20;24.471;1649.999999774743;2.252571391636593e-07
20;24.469;1649.9999997127693;2.872308186852024e-07
20;24.469;1699.9999997127693;2.872308186852024e-07
20;24.469;1699.9999997127693;2.872308186852024e-07
20;24.472;1749.9999997157163;2.8428362952581665e-07
20;24.472;1749.9999997157163;2.8428362952581665e-07
20;24.47;1799.9999997157163;2.8428362952581665e-07
20;24.47;1799.9999996764807;3.235193446471385e-07
20;24.47;1849.9999996764807;3.235193446471385e-07
20;24.472;1849.9999996764807;3.235193446471385e-07
20;24.472;1899.9999995360847;4.639151995888824e-07
20;24.472;1899.9999995360847;4.639151995888824e-07
20;24.471;1949.999999468118;5.318821081345959e-07
20;24.471;1949.999999468118;5.318821081345959e-07
20;24.471;1999.999999468118;5.318821081345959e-07
20;24.473;1999.9999992398657;7.601344123031595e-07
20;24.475;2049.9999992398657;7.601344123031595e-07
20;24.475;2049.999975300685;2.469931496307254e-05
20;24.474;2099.997978257714;0.0020217422861605883
20;24.474;2099.995547948871;0.004452051129192114
20;24.476;49.99500082107261;0.0049991789273917675
20;24.476;49.99500082107261;0.0049991789273917675
20;24.478;50.0;0.0
20;24.478;50.0;0.0
20;24.478;100.0;0.0
20;24.48;99.99999996211565;3.788434099760707e-08
20;24.48;149.99999996211565;3.788434099760707e-08
20;24.48;149.99999996211565;3.788434099760707e-08
20;24.483;199.99999994369915;5.6300841322354245e-08
20;24.483;199.99999994369915;5.6300841322354245e-08
20;24.483;249.99999994369915;5.6300841322354245e-08
20;24.485;249.99999994369915;5.6300841322354245e-08
20;24.485;299.9999998905147;1.0948529194365619e-07
20;24.485;299.9999998905147;1.0948529194365619e-07
20;24.488;349.9999999226135;7.73865025394116e-08
20;24.488;349.9999999226135;7.73865025394116e-08
20;24.488;399.9999999226135;7.73865025394116e-08
20;24.488;399.9999999226135;7.73865025394116e-08
20;24.489;449.9999998905147;1.0948529194365619e-07
20;24.489;449.9999998905147;1.0948529194365619e-07
20;24.49;499.9999998905147;1.0948529194365619e-07
20;24.49;499.9999998905147;1.0948529194365619e-07
20;24.49;549.9999999084437;9.155632341162345e-08
20;24.49;549.9999999084437;9.155632341162345e-08
20;24.491;599.9999998297355;1.7026448517754034e-07
20;24.491;599.9999998297355;1.7026448517754034e-07
20;24.492;649.9999998897664;1.1023362844753137e-07
20;24.492;649.9999998897664;1.1023362844753137e-07
20;24.492;699.9999998897664;1.1023362844753137e-07
20;24.493;699.9999998897664;1.1023362844753137e-07
20;24.493;749.9999998989867;1.0101331326950458e-07
20;24.493;749.9999998989867;1.0101331326950458e-07
20;24.493;799.9999998599155;1.4008442406066024e-07
20;24.493;799.9999998599155;1.4008442406066024e-07
20;24.493;849.9999998744377;1.2556239425975946e-07
20;24.493;849.9999998744377;1.2556239425975946e-07
20;24.493;899.9999998744377;1.2556239425975946e-07
20;24.495;899.9999998744377;1.2556239425975946e-07
20;24.495;949.9999998830651;1.1693484225361317e-07
20;24.495;949.9999998830651;1.1693484225361317e-07
20;24.494;999.9999998457229;1.5427711730353622e-07
20;24.494;999.9999998457229;1.5427711730353622e-07
20;24.496;1049.999999858302;1.4169796713758842e-07
20;24.496;1049.999999858302;1.4169796713758842e-07
20;24.496;1099.999999858302;1.4169796713758842e-07
20;24.496;1099.999999858302;1.4169796713758842e-07
20;24.496;1149.999999864032;1.3596820735983783e-07
